nID_SubjectOrganJoin;sName_UA;sID_UA
1161;М/п "Доманово";20508 00 00
1161;П/п "Доманове - Мокрани";20508 10 00 (112)
1161;Відділ митного оформлення N 1 митного поста "Доманово";20508 10 01
1161;Відділ митного оформлення N 2 митного поста "Доманово";20508 10 02
1161;Відділ митного оформлення N 3 митного поста "Доманово";20508 10 03
1161;Відділ митного оформлення N 4 митного поста "Доманово";20508 10 04
1161;Сектор митного оформлення N 1 митного поста "Доманово";20508 00 05
1161;П/п "Самари - Дзівін";20508 11 00 (212)
1161;М/п "Дольськ";20509 00 00
1161;П/п "Дольськ - Мохро";20509 13 00 (112)
1161;М/п "Володимир-Волинський";20510 00 00
1161;М/п "Ізов";20511 00 00
1161;П/п "Володимир-Волинський - Хрубешув" (пункт контролю на станції "Ізов");20511 08 00 (123)
1161;Сектор митного оформлення N 1 митного поста "Ізов";20511 08 01
1161;Сектор митного оформлення N 2 митного поста "Ізов";20511 08 02
1161;Сектор митного оформлення N 3митного поста "Ізов";20511 08 03
1161;Сектор митного оформлення N 4 митного поста "Ізов";20511 08 04
1161;П/п "Володимир-Волинський - Хрубешув" (пункт контролю на станції "Лудин");20511 14 00 (123)
1161;М/п "Нововолинськ";20512 00 00
1161;М/п "Заболоття";20513 00 00
1161;П/п "Заболоття - Хотислав" (станція "Заболоття");20513 12 00 (122)
1161;М/п "Піща";20514 00 00
1161;П/п "Піща - Олтуш";20514 04 00 (212)
1161;Сектор митного оформлення N 1 митного поста "Піща";20514 04 01
1161;П/п "Пулемець - Томашівка";20514 03 00 (112)
1161;Сектор митного оформлення N 2 митного поста "Піща";20514 03 02
1162;Служба боротьби з контрабандою та порушеннями митних правил;20600 00 01
1162;Сектор кадрової роботи;20600 00 02
1162;Відділ митних платежів;20600 00 03
1162;Відділ митних інформаційних технологій;20600 00 04
1162;Відділ організації митного контролю;20600 00 05
1162;М/п "Коломия";20602 00 00
1162;М/п "Ямниця";20604 00 00
1162;М/п "Івано-Франківськ - центральний";20605 00 00
1162;П/п "Івано-Франківськ - аеропорт";20605 01 00 (130)
1162;М/п "Калуш";20606 00 00
1162;М/п "Долина";20607 00 00
1163;Служба боротьби з контрабандою та порушеннями митних правил;20900 00 01
1163;Відділ кадрової роботи;20900 00 02
1163;Відділ митних платежів;20900 00 03
1163;Сектор контролю за нарахуванням митних платежів відділу митних платежів;20900 00 04
1163;Сектор контролю за визначенням країни походження товару відділу митних платежів;20900 00 05
1163;Сектор контролю за правильністю визначення митної вартості товарів відділу митних платежів;20900 00 06
1163;Сектор контролю за класифікацією та кодуванням товарів відділу митних платежів;20900 00 07
1163;Відділ митних інформаційних технологій;20900 00 08
1163;Відділ організації митного контролю;20900 00 09
1163;Сектор контролю за переміщенням товарів відділу організації митного контролю;20900 00 10
1163;Сектор з питань захисту прав інтелектуальної власності відділу організації митного контролю;20900 00 11
1163;М/п "Львів - аеропорт";20901 00 00
1163;П/п "Львів - аеропорт";20901 01 00 (130)
1163;Відділ митного оформлення N 1 митного поста "Львів-аеропорт";20901 01 01
1163;Відділ митного оформлення N 2 митного поста "Львів-аеропорт";20901 01 02
1163;Відділ митного оформлення N 3 митного поста "Львів-аеропорт";20901 01 03
1163;Відділ митного оформлення N 4 митного поста "Львів-аеропорт";20901 01 04
1163;М/п "Дрогобич";20902 00 00
1163;Сектор митного оформлення "Самбір" митного поста "Дрогобич";20902 00 01
1163;М/п "Стрий";20904 00 00
1163;Відділ митного оформлення "Леоні" митного поста "Стрий";20904 00 01
1163;Сектор митного оформлення "Жидачів" митного поста "Стрий";20904 00 02
1163;М/п "Броди";20905 00 00
1163;М/п "Сокаль";20907 00 00
1163;М/п "Краковець";20908 00 00
1163;П/п "Краківець - Корчова";20908 02 00 (113)
1163;Відділ митного оформлення N 1 митного поста "Краковець";20908 02 01
1163;Відділ митного оформлення N 2 митного поста "Краковець";20908 02 02
1163;Відділ митного оформлення N 3 митного поста "Краковець";20908 02 03
1163;Відділ митного оформлення N 4 митного поста "Краковець";20908 02 04
1163;М/п "Мостиська";20909 00 00
1163;П/п "Шегині - Медика";20909 04 00 (113)
1163;Відділ митного оформлення N 1 митного поста "Мостиська";20909 04 01
1163;Відділ митного оформлення N 2 митного поста "Мостиська";20909 04 02
1163;Відділ митного оформлення N 3 митного поста "Мостиська";20909 04 03
1163;Відділ митного оформлення N 4 митного поста "Мостиська";20909 04 04
1163;П/п "Мостиська - Пшемисль" (станції "Мостиська", "Мостиська II");20909 03 00 (123)
1163;Відділ митного оформлення N 5 митного поста "Мостиська";20909 03 05
1163;Відділ митного оформлення N 6 митного поста "Мостиська";20909 03 06
1163;Відділ митного оформлення N 7 митного поста "Мостиська";20909 03 07
1163;Відділ митного оформлення N 8 митного поста "Мостиська";20909 03 08
1163;М/п "Рава-Руська";20910 00 00
1163;Сектор митного оформлення "Рата" митного поста "Рава-Руська";20910 00 01
1163;П/п "Рава-Руська - Хребенне";20910 05 00 (113)
1163;Відділ митного оформлення N 1 митного поста "Рава-Руська";20910 05 02
1163;Відділ митного оформлення N 2 митного поста "Рава-Руська";20910 05 03
1163;Відділ митного оформлення N 3 митного поста "Рава-Руська";20910 05 04
1163;Відділ митного оформлення N 4 митного поста "Рава-Руська";20910 05 05
1163;П/п "Рава-Руська - Хребенне, Верхрата" (станція "Рава-Руська");20910 06 00 (123)
1163;Відділ митного оформлення N 5 митного поста "Рава-Руська";20910 06 06
1163;М/п "Смільниця";20911 00 00
1163;П/п "Смільниця - Кросценко";20911 07 00 (113)
1163;Відділ митного оформлення N 1 митного поста "Смільниця";20911 07 01
1163;Відділ митного оформлення N 2 митного поста "Смільниця";20911 07 02
1163;Відділ митного оформлення N 3 митного поста "Смільниця";20911 07 03
1163;Відділ митного оформлення N 4 митного поста "Смільниця";20911 07 04
1163;П/п "Хирів - Кросценко" (станція "Хирів");20911 08 00 (123)
1163;М/п "Городок";20912 00 00
1163;М/п "Львів - поштовий";20913 00 00
1163;М/п "Малехів";20914 00 00
1163;М/п "Скнилів";20915 00 00
1163;М/п "Запитів";20916 00 00
1164;Служба боротьби з контрабандою та порушеннями митних правил;30500 00 01
1164;Відділ кадрової роботи;30500 00 02
1164;Відділ митних платежів;30500 00 03
1164;Відділ митних інформаційних технологій;30500 00 04
1164;Відділ організації митного контролю;30500 00 05
1164;М/п "Чоп - залізничний";30501 00 00
1164;П/п "Чоп - Захонь" (станція "Чоп");30501 02 00 (125)
1164;П/п "Чоп - Чієрна над Тисою" (станція "Чоп");30501 03 00 (124)
1164;Відділ митного оформлення N 1 митного поста "Чоп - залізничний";30501 00 01
1164;Відділ митного оформлення N 2 митного поста "Чоп - залізничний";30501 00 02
1164;Відділ митного оформлення N 3 митного поста "Чоп - залізничний";30501 00 03
1164;Відділ митного оформлення N 4 митного поста "Чоп - залізничний";30501 00 04
1164;Сектор митного оформлення N 1 (міжнародних поштових та експрес відправлень) митного поста "Чоп - залізничний";30501 00 05
1164;М/п "Тиса";30502 00 00
1164;П/п "Чоп - Захонь";30502 04 00 (115)
1164;Відділ митного оформлення N 1 митного поста "Тиса";30502 04 01
1164;Відділ митного оформлення N 2 митного поста "Тиса";30502 04 02
1164;Відділ митного оформлення N 3 митного поста "Тиса";30502 04 03
1164;Відділ митного оформлення N 4 митного поста "Тиса";30502 04 04
1164;П/п "Малі Селменці - Вельке Слеменце";30502 07 00 (174)
1164;Сектор митного оформлення N 1 (п/п "Малі Селменці") митного поста "Тиса";30502 07 05
1164;М/п "Ужгород";30506 00 00
1164;П/п "Ужгород - аеропорт";30506 08 00 (130)
