nID;nID_Service;nID_Place;nID_City;nID_Region;nID_ServiceType;oData;sURL;bHidden;nID_Subject_Operator;bTest;sNote;asAuth;nID_Server
127;670;50001;NULL;1;4;{"processDefinitionId":"_test_mailer_ext:1:1"};;false;1;true;;BankID,email,EDS,KK;0
128;671;NULL;NULL;NULL;4;{"processDefinitionId":"_test_dependence_form:1:1"};;false;1;true;;BankID,email,EDS,KK;0
129;672;NULL;NULL;NULL;4;{"processDefinitionId":"_test_dnepr_mvd_1_auto:1:1"};;false;1;true;;BankID,email,EDS,KK;0
130;673;468;468;NULL;4;{"processDefinitionId":"_test_print_form:1:1"};;false;225;true;;BankID,email,EDS,KK;0
131;674;NULL;NULL;NULL;4;{"processDefinitionId":"_test_liqpay:1:1"};;false;1;true;;BankID,email,EDS,KK;0
132;675;9;9;NULL;1;{};http://www.ap.lutsk.ua/uk/info/service/2683/details;FALSE;1;FALSE;Ви можете отримати послугу на порталі адміністративних послуг м.Луцьк;BankID,EDS;0
133;10;9;9;NULL;1;{};http://www.ap.lutsk.ua/uk/info/service/2802/details;true;1;FALSE;Ви можете отримати послугу на порталі адміністративних послуг м.Луцьк;BankID,EDS;0
134;676;NULL;NULL;NULL;1;{};http://map.land.gov.ua/;true;1;true;Ви можете отримати послугу через публічну кадастрову карту. Обов’язковою умовою отримання доступу до інформації є  електронна ідентифікація заявника з використанням електронного цифрового підпису або BankID;BankID,EDS;0
135;677;9;9;NULL;1;{}; http://www.ap.lutsk.ua/info/service/byservicescope-1274/2543/details;FALSE;1;FALSE;Ви можете отримати послугу на порталі адміністративних послуг м.Луцьк;BankID,EDS;0
136;678;9;9;NULL;1;{};http://www.ap.lutsk.ua/uk/info/service/2542/details;FALSE;1;FALSE;Ви можете отримати послугу на порталі адміністративних послуг м.Луцьк;BankID,EDS;0
137;679;9;9;NULL;1;{};http://www.ap.lutsk.ua/uk/info/service/2632/details;FALSE;1;FALSE;Ви можете отримати послугу на порталі адміністративних послуг м.Луцьк;BankID,EDS;0
138;4;9;9;NULL;1;{};http://www.ap.lutsk.ua/uk/info/service/2504/details;FALSE;1;FALSE;Ви можете отримати послугу на порталі адміністративних послуг м.Луцьк;BankID,EDS;0
139;681;9;9;NULL;1;{};http://www.ap.lutsk.ua/uk/info/service/2507/details;FALSE;1;FALSE;Ви можете отримати послугу на порталі адміністративних послуг м.Луцьк;BankID,EDS;0
140;628;9;9;NULL;1;{};http://www.ap.lutsk.ua/uk/info/service/2505/details;FALSE;1;FALSE;Ви можете отримати послугу на порталі адміністративних послуг м.Луцьк;BankID,EDS;0
141;682;9;9;NULL;1;{};http://www.ap.lutsk.ua/uk/info/service/2639/details;FALSE;1;FALSE;Ви можете отримати послугу на порталі адміністративних послуг м.Луцьк;BankID,EDS;0
142;956;476;476;NULL;4;{"processDefinitionId":"dnepr_cnap_238:1:1"};;false;225;true;;BankID,EDS;0
143;456;203;203;NULL;4;{"processDefinitionId":"nadDvirnyanska_rda_1b:1:1"};;false;1;true;;BankID,EDS;0
144;45;28;28;NULL;4;{"processDefinitionId":"dnepr_cnap_234:1:1"};;false;225;false;;BankID,EDS;0
145;684;203;203;NULL;4;{"processDefinitionId":"naDvirna_rda-2:1:1"};;false;1;true;;BankID,EDS;0
146;685;4;4;NULL;1;{};http://www.cnap.if.ua/posl/3745;FALSE;1;FALSE;Ви можете отримати послугу на порталі адміністративних послуг м.Івано-Франківська;BankID,EDS;0
147;4;4;4;NULL;1;{};http://www.cnap.if.ua/posl/3434;FALSE;1;FALSE;Ви можете отримати послугу на порталі адміністративних послуг м.Івано-Франківська;BankID,EDS;0
148;686;4;4;NULL;1;{};http://www.cnap.if.ua/posl/2010;FALSE;1;FALSE;Ви можете отримати послугу на порталі адміністративних послуг м.Івано-Франківська;BankID,EDS;0
149;9;4;4;NULL;1;{};http://www.cnap.if.ua/posl/2011;FALSE;1;FALSE;Ви можете отримати послугу на порталі адміністративних послуг м.Івано-Франківська;BankID,EDS;0
150;687;4;4;NULL;1;{};http://www.cnap.if.ua/posl/4064;FALSE;1;FALSE;Ви можете отримати послугу на порталі адміністративних послуг м.Івано-Франківська;BankID,EDS;0
151;688;NULL;NULL;NULL;4;{"processDefinitionId":"_test_Country:1:1"};;false;1;true;;BankID,email,EDS,KK;0
152;161;378;NULL;15;4;{"processDefinitionId":"zaporoshye_oda_1:1:1"};;false;1;false;;BankID,EDS;0
153;1;50006;NULL;6;4;{"processDefinitionId":"common_mvd_1:1:58"};;false;3;false;;BankID,EDS;0
154;4;3;3;NULL;1;{};https://egov.city-adm.lviv.ua/;FALSE;1;FALSE;Скористатися послугою можна на сайті порталу міста Львів. Для користування послугою треба будет увійти в систему через BankID або електронно-цифровий підпис;BankID,EDS;0
155;686;3;3;NULL;1;{};https://egov.city-adm.lviv.ua/;FALSE;1;FALSE;Скористатися послугою можна на сайті порталу міста Львів. Для користування послугою треба будет увійти в систему через BankID або електронно-цифровий підпис;BankID,EDS;0
156;372;3;3;NULL;1;{};https://egov.city-adm.lviv.ua/;FALSE;1;FALSE;Скористатися послугою можна на сайті порталу міста Львів. Для користування послугою треба будет увійти в систему через BankID або електронно-цифровий підпис;BankID,EDS;0
157;700;3;3;NULL;1;{};https://egov.city-adm.lviv.ua/;FALSE;1;FALSE;Скористатися послугою можна на сайті порталу міста Львів. Для користування послугою треба будет увійти в систему через BankID або електронно-цифровий підпис;BankID,EDS;0
158;701;3;3;NULL;1;{};https://egov.city-adm.lviv.ua/;FALSE;1;FALSE;Скористатися послугою можна на сайті порталу міста Львів. Для користування послугою треба будет увійти в систему через BankID або електронно-цифровий підпис;BankID,EDS;0
159;702;3;3;NULL;1;{};https://egov.city-adm.lviv.ua/;FALSE;1;FALSE;Скористатися послугою можна на сайті порталу міста Львів. Для користування послугою треба будет увійти в систему через BankID або електронно-цифровий підпис;BankID,EDS;0
160;703;NULL;NULL;NULL;1;{};http://dracs.minjust.gov.ua/;FALSE;1;FALSE;Для одержання послуги потрібно зареєструватися на порталі та скористатися BankID або електронно-цифровим підписом;BankID,EDS;0
161;29;134;134;NULL;4;{"processDefinitionId":"dnepr_dms-89:1:1"};;false;89;false;;BankID,EDS;0
162;26;134;134;NULL;4;{"processDefinitionId":"dnepr_dms-89s:1:1"};;false;89;false;;BankID,EDS;0
163;24;134;134;NULL;4;{"processDefinitionId":"dnepr_dms-294:1:1"};;false;205;false;;BankID,EDS;0
164;184;134;134;NULL;4;{"processDefinitionId":"dnepr_dms-212:1:1"};;false;89;false;;BankID,EDS;0
165;185;134;134;NULL;4;{"processDefinitionId":"dnepr_dms-212s:1:1"};;false;89;false;;BankID,EDS;0
166;173;134;134;NULL;4;{"processDefinitionId":"dnepr_dms-227:1:1"};;false;205;false;;BankID,EDS;0
167;175;134;134;NULL;4;{"processDefinitionId":"dnepr_dms-257:1:1"};;false;205;false;;BankID,EDS;0
168;1431;134;134;NULL;4;{"processDefinitionId":"dnepr_dms-272:1:1"};;false;205;false;;BankID,EDS;0
169;1432;134;134;NULL;4;{"processDefinitionId":"dnepr_dms-272kr:1:1"};;false;205;false;;BankID,EDS;0
170;25;134;134;NULL;4;{"processDefinitionId":"dnepr_dms-280:1:1"};;false;89;false;;BankID,EDS;0
171;1398;466;466;NULL;4;{"processDefinitionId":"dnepr_cnap_220:1:1"};;false;225;false;;BankID,EDS;0
172;1398;28;28;NULL;4;{"processDefinitionId":"dnepr_cnap_220:1:1"};;false;225;false;;BankID,EDS;0
173;157;28;28;NULL;4;{"processDefinitionId":"dnepr_cnap_248:1:1"};;false;225;false;;BankID,EDS;0
174;156;28;28;NULL;4;{"processDefinitionId":"dnepr_cnap_244:1:1"};;false;225;false;;BankID,EDS;0
175;25;472;472;NULL;4;{"processDefinitionId":"dnepr_dms-280:1:1"};;false;225;false;;BankID,EDS;0
176;1403;50001;NULL;1;1;{};https://e-contact.dp.gov.ua/feedback/;FALSE;1;FALSE;Ви можете отримати послугу на сайті контакт-центру Дніпропетровської ОДА;BankID,EDS;0
177;140;26;26;NULL;4;{"processDefinitionId":"dnepr_cnap_37:1:1"};;false;225;false;;BankID,EDS;0
178;15;26;26;NULL;4;{"processDefinitionId":"dnepr_cnap_184:1:1"};;false;225;false;;BankID,EDS;0
