nID_FlowPropertyClass;sData;nID_Flow;bExclude;sName;sRegionTime;saRegionWeekDay;sDateTimeAt;sDateTimeTo;nLen;sLenType;sGroup
1;{"0 0/30 9-12 ? * MON,TUE,THU,FRI *":"PT15M"};72;false;Ранковий прийом основний;09:00-13:00;mo,tu,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/30 9-10 ? * WED *":"PT15M"};72;false;Ранковий прийом середа;09:00-11:00;we;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/30 14-17 ? * MON,TUE,THU *":"PT15M"};72;false;Вечірній прийом основний;14:00-18:00;mo,tu,th;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/30 14-15 ? * FRI *":"PT15M"};72;false;Вечірній прийом п'ятниця;14:00-16:00;fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/30 16 ? * FRI *":"PT15M"};72;false;Вечірній прийом п'ятниця1;16:00-16:45;fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-14 ? * MON-FRI *":"PT15M"};72;false;Прийом пн-пт;09:00-15:00;mo,tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 17-18 ? * TUE,THU *":"PT15M"};72;false;Прийом вт,чт вечер;17:00-19:00;tu,th;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 8-13 ? * SAT *":"PT15M"};72;false;Прийом сб;08:00-14:00;sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 8-11 ? * TUE *":"PT15M"};73;false;прийом утренний;08:00-12:00;tu;21.04.2017  15:00:00;31.12.2035  18:00:00;15;Min;
1;{"0 0/15 13-16 ? * TUE *":"PT15M"};73;false;прийом вечерній;13:00-17:00;tu;21.04.2017  15:00:00;31.12.2035  18:00:00;15;Min;
1;{"0 0/15 8-11 ? * FRI *":"PT15M"};73;false;прийом пятница утро;08:00-12:00;fr;21.04.2017  15:00:00;31.12.2035  18:00:00;15;Min;
1;{"0 0/15 13-15 ? * FRI *":"PT15M"};73;false;прийом пятница вечерній;13:00-16:00;fr;21.04.2017  15:00:00;31.12.2035  18:00:00;15;Min;

1;{"0 0/20 8-16 ? * MON-THU *":"PT20M"};77;false;Ранковий прийом;08:00-17:00;mo,tu,we,th;01.01.2017  8:00:00;31.12.2035  19:00:00;20;Min;
1;{"0 0/20 8-14 ? * FRI *":"PT20M"};77;false;Прийом пт;08:00-15:00;fr;01.01.2017  8:00:00;31.12.2035  19:00:00;20;Min;

1;{"0 0/20 9-11 ? * MON-THU *":"PT20M"};78;false;Ранковий прийом;09:00-12:00;mo,tu,we,th;01.01.2017  8:00:00;31.12.2035  19:00:00;20;Min;
1;{"0 0/20 13-15 ? * MON-THU *":"PT20M"};78;false;Вечірній прийом;13:00-16:00;mo,tu,we,th;01.01.2017  8:00:00;31.12.2035  19:00:00;20;Min;

1;{"0 0/20 14 ? * TUE-FRI *":"PT20M"};79;false;прийом основний;14:00-15:00;tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;20;Min;

1;{"0 0/15 9-11 ? * MON-FRI *":"PT15M"};80;false;Ранковий прийом основний;09:00-12:00;mo,tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 13-15 ? * MON-THU *":"PT5M"};80;false;Вечірній прийом основний;13:00-16:00;mo,tu,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 13-14 ? * MON,TUE,THU,FRI *":"PT15M"};80;false;Вечірній прийом п'ятниця;13:00-15:00;fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-15 ? * MON-SAT *":"PT15M"};81;false;Прийом основний;09:00-16:00;mo,tu,we,th,fr,sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-11 ? * MON-FRI *":"PT15M"};83;false;Прийом ранок пн-пт;09:00-12:00;mo,tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 13-14 ? * MON-FRI *":"PT15M"};83;false;Прийом день пн-пт;13:00-15:00;mo,tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 17-18 ? * MON-FRI *":"PT15M"};83;false;Прийом вечір пн-пт;17:00-19:00;mo,tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-11 ? * SAT *":"PT15M"};83;false;Прийом сб;09:00-12:00;sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 13-15 ? * SAT *":"PT15M"};83;false;Прийом сб;13:00-15:00;sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-15 ? * MON-THU *":"PT15M"};84;false;Прийом пн-чт;09:00-16:00;mo,tu,we,th;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-14 ? * FRI *":"PT15M"};84;false;Прийом пт;09:00-15:00;fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 10-14 ? * MON *":"PT15M"};85;false;Прийом пн;10:00-15:00;mo;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 18 ? * MON *":"PT15M"};85;false;Прийом пн;18:00-19:00;mo;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 10-15 ? * TUE-FRI *":"PT15M"};85;false;Прийом вт-пт;10:00-16:00;tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-12 ? * MON-FRI *":"PT15M"};86;false;Прийом пн-пт;09:00-12:00;mo,tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 13-18 ? * MON-THU *":"PT15M"};86;false;Прийом пн-чт;13:00-19:00;mo,tu,we,th;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 13-15 ? * FRI *":"PT15M"};86;false;Прийом пт;09:00-16:00;fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-16 ? * MON,WED *":"PT15M"};87;false;Прийом основний пн,ср;09:00-16:00;mo,we;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-18 ? * TUE,THU *":"PT15M"};87;false;Прийом основний вт,чт;09:00-19:00;tu,th;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-14 ? * FRI,SAT *":"PT15M"};87;false;Прийом основний пт,сб;09:00-15:00;fr,sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-16 ? * MON,WED *":"PT15M"};88;false;Прийом основний пн,ср;09:00-16:00;mo,we;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
