nID;sName;sGroup_Activiti;nID_SubjectOrgan
153;Днепр,регистрация, Самарский;registration_dnepr_samars;2
154;Первомайский Ник область,регистрация;registration_myk_perv;2
155;Голая Пристань,регистрация;registration_khers_goprT;2
156;МРЕО м.Львів, вул. Данила Апостола, 11 (водійське посвідчення);common_mreo_3_4600000000_1;2
157;МРЕО м Самбір, вул Східна 216 (водійське посвідчення);common_mreo_3_4600000000_2;2
158;Каховка,регистрация;registration_khers_kahovT;2
159;ДМС, Тернопільський район, вул.Степова, 45 (dms_0176_Zagran_iGov);demoavir;2
160;ДМС, м. Чортків, вул.Горбачевського, 5 (dms_0176_Zagran_iGov);demoavir;2
161;Кременець,реєстрація;registration_tern_reg_krem;2
162;МРЕО м Чернігів (водійське посвідчення);common_mreo_3_7400000000_1;2
163;КрРог,регистрация, Тернівський;registration_krrog_tern;2
164;КрРог,регистрация, Покровський (Жовтневий);registration_krrog_pokrov;2
165;КрРог,регистрация, Саксаганський;registration_krrog_saks;2
166;КрРог,регистрация, Довгинцівський;registration_krrog_dovg;2
167;КрРог,регистрация, Металургійний (Дзержинський);registration_krrog_metal;2
168;КрРог,регистрация, Центрально-Міський;registration_krrog_center;2
169;КрРог,регистрация, Інгулецький;registration_krrog_ingul;2
170;Благодатна селищна рада,регистрация;registration_volin_ZhovtnevaSMT;2
171;Днепр,регистрация, Таромское;registration_dnepr_taroms;2
172;ДМС, м.Ланівці, вул. Волинська, 7 (dms_0176_Zagran_iGov);demoavir;2
173;ДМС, смт.Козова, вул. Січових Стрільців, 2 (dms_0176_Zagran_iGov);demoavir;2
174;ДМС, м. Збараж, вул. Б. Хмельницького, 24 (dms_0176_Zagran_iGov);demoavir;2
175;ЦНАП Гусятинського району (dnepr_dms-227);demoavir;2
176;Державіаслужба (infr_air_2);demoavir;2
177;Острозька міська рада (scadovsk_mvk-302);mvk_forma3_skadovsk;2
178;Великолюбінська селищна рада (scadovsk_mvk-302);mvk_forma3_skadovsk;2
179;м.Дніпро відділ Управління державної реєстрації  ;common_zags_1200000000_1;760
180;м.Дніпро Амур-Нижньодніпровський районний відділ  ;common_zags_1200000000_2;760
181;м.Дніпро Бабушкінський районний відділ  ;common_zags_1200000000_3;760
182;м.Дніпро Жовтневий районний відділ  ;common_zags_1200000000_4;760
183;м.Дніпро Індустріальний районний відділ  ;common_zags_1200000000_5;760
184;м.Дніпро Кіровський районний відділ  ;common_zags_1200000000_6;760
185;м.Дніпро Красногвардійський районний відділ  ;common_zags_1200000000_7;760
186;м.Дніпро Ленінський районний відділ  ;common_zags_1200000000_8;760
187;м.Дніпро Самарський районний відділ ;common_zags_1200000000_9;760
188;м.Кам’янське Баглійський районний відділ  ;common_zags_1200000000_10;2
189;м.Кам’янське Дніпровський районний відділ  ;common_zags_1200000000_11;2
190;м.Кам’янське Заводський районний відділ  ;common_zags_1200000000_12;2
191;м.Кривий Ріг Дзержинський районний відділ  ;common_zags_1200000000_13;2
192;м.Кривий Ріг Довгинцівський районний відділ  ;common_zags_1200000000_14;2
193;м.Кривий Ріг Жовтневий районний відділ  ;common_zags_1200000000_15;2
194;м.Кривий Ріг Інгулецький районний відділ  ;common_zags_1200000000_16;2
195;м.Кривий Ріг Саксаганський районний відділ  ;common_zags_1200000000_17;2
196;м.Кривий Ріг Тернівський районний відділ ;common_zags_1200000000_18;2
197;м.Кривий Ріг Центрально-Міський районний відділ  ;common_zags_1200000000_19;2
198;м.Вільногірськ Вільногірський міський відділ  ;common_zags_1200000000_20;2
199;м.Жовті Води Жовтоводський міський відділ  ;common_zags_1200000000_21;2
200;м.Марганець Марганецький міський відділ  ;common_zags_1200000000_22;2
201;м.Орджонікідзе Орджонікідзевський міський відділ  ;common_zags_1200000000_23;2
202;м.Павлоград  Павлоградський міський відділ  ;common_zags_1200000000_24;2
203;м.Першотравенськ Першотравенський міський районний відділ  ;common_zags_1200000000_25;2
204;м.Синельникове Синельниківський міськрайонний відділ  ;common_zags_1200000000_26;2
205;м.Тернівка Тернівський міський відділ  ;common_zags_1200000000_27;2
206;м.Апостолове Апостолівський районний відділ  ;common_zags_1200000000_28;2
207;смт. Васильківка Васильківський районний відділ  ;common_zags_1200000000_29;2
208;м.Верхньодніпровськ Верхньодніпровський районний відділ  ;common_zags_1200000000_30;2
209;м.Дніпро Дніпропетровський районний відділ  ;common_zags_1200000000_31;2
210;м.Кривий Ріг Криворізький районний відділ  ;common_zags_1200000000_32;2
211;смт.Кринички Криничанський районний відділ  ;common_zags_1200000000_33;2
212;смт.Магдалинівка Магдалинівський районний відділ  ;common_zags_1200000000_34;2
213;смт.Межова Межівський районний відділ ;common_zags_1200000000_35;2
214;м.Нікополь Нікопольський міськрайонний відділ  ;common_zags_1200000000_36;2
215;м.Новомосковськ  Новомосковський міськрайонний відділ  ;common_zags_1200000000_37;2
216;м.Павлоград Павлоградський районний відділ  ;common_zags_1200000000_38;2
217;смт.Петриківка Петриківський районний відділ  ;common_zags_1200000000_39;2
218;смт.Петропавлівка Петропавлівський районний відділ ;common_zags_1200000000_40;2
219;смт.Покровське Покровський районний відділ  ;common_zags_1200000000_41;2
220;м.П’ятихатки П’ятихатський районний відділ  ;common_zags_1200000000_42;2
221;смт.Солоне Солонянський районний відділ  ;common_zags_1200000000_43;2
222;смт.Софіївка Софіївський районний відділ  ;common_zags_1200000000_44;2
223;смт.Томаківка Томаківський районний відділ  ;common_zags_1200000000_45;2
