nID;nID_Service;nID_Place;nID_City;nID_Region;nID_ServiceType;oData;sURL;bHidden;nID_Subject_Operator;bTest;sNote;asAuth;nID_Server
70;624;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
71;625;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
72;626;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
73;627;50005;6;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"kiev_mda_2:1:595058"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID,EDS;0
74;628;2;2;NULL;1;{};https://dniprorada.igov.org.ua;false;1;TRUE;;BankID,EDS;0
75;629;NULL;NULL;NULL;1;{};http://geoinf.kiev.ua/wp/interaktyvni-karty-spetsdozvoliv.htm;FALSE;1;FALSE;За наступним посиланням Ви зможете переглянути інтерактивну карту із можливістю фільтрації на різні типи шарів та за різноманітними атрибутами. Веріфікація не потрібна;BankID,EDS;0
76;630;NULL;NULL;NULL;1;{};http://geoinf.kiev.ua/wp/interaktyvna-karta-rodovyshch-korysnykh-kopalyn.htm;FALSE;1;FALSE;За наступним посиланням Ви зможете переглянути інтерактивну карту із можливістю фільтрації на різні типи шарів та за різноманітними атрибутами. Веріфікація не потрібна;BankID,EDS;0
77;631;NULL;NULL;NULL;1;{};http://geoinf.kiev.ua/katalog-fondu/;FALSE;1;FALSE;Пошук за каталогом геологічних досліджень у каталозі фонду (більше 60.000 матеріалів) за різноманітними атрибутами. Веріфікація не потрібна;BankID,EDS;0
78;632;NULL;NULL;NULL;1;{};http://geoinf.kiev.ua/zayavy-na-otrymannya-spedozvoliv-na-korystuvannya-nadramy/;FALSE;1;FALSE;Перевірка статусу заяви на отримання спедозволів на користування надрами за різноманітними атрибутами. Веріфікація не потрібна;BankID,EDS;0
79;647;NULL;NULL;NULL;1;{};https://e-dabi.gov.ua/;FALSE;1;FALSE;Для реєстрації Вам знадобиться електронно-цифровий підпис;BankID,EDS;0
80;56;NULL;NULL;NULL;1;{};https://e-dabi.gov.ua/;FALSE;1;FALSE;Для реєстрації Вам знадобиться електронно-цифровий підпис;BankID,EDS;0
81;499;NULL;NULL;NULL;1;{};https://e-dabi.gov.ua/;FALSE;1;FALSE;Для реєстрації Вам знадобиться електронно-цифровий підпис;BankID,EDS;0
82;55;NULL;NULL;NULL;1;{};https://e-dabi.gov.ua/;FALSE;1;FALSE;Для реєстрації Вам знадобиться електронно-цифровий підпис;BankID,EDS;0
83;90;NULL;NULL;NULL;1;{};http://rp.irc.gov.ua/;FALSE;1;FALSE;Для реєстрації Вам знадобиться електронно-цифровий підпис;BankID,EDS;0
84;91;NULL;NULL;NULL;1;{};http://rp.irc.gov.ua/;FALSE;1;FALSE;Для реєстрації Вам знадобиться електронно-цифровий підпис;BankID,EDS;0
85;79;NULL;NULL;NULL;1;{};https://usr.minjust.gov.ua/paidextract;FALSE;1;FALSE;Для запиту Вам не знадобляться електронно-цифровий підпис або BankID. Послуга платна згідно тарифам, вказаним на сайті Міністерства Юстиції;BankID,EDS;0
86;80;NULL;NULL;NULL;1;{};https://usr.minjust.gov.ua/paidextract;FALSE;1;FALSE;Для запиту Вам не знадобляться електронно-цифровий підпис або BankID. Послуга платна згідно тарифам, вказаним на сайті Міністерства Юстиції;BankID,EDS;0
87;81;NULL;NULL;NULL;1;{};https://usr.minjust.gov.ua/paidextract;FALSE;1;FALSE;Для запиту Вам не знадобляться електронно-цифровий підпис або BankID. Послуга платна згідно тарифам, вказаним на сайті Міністерства Юстиції;BankID,EDS;0
88;649;NULL;NULL;NULL;1;{};https://kap.minjust.gov.ua/services/rrpdescription;FALSE;1;FALSE;"Отримання відомостей про зареєстровані речові права на нерухоме майно за: - вказаною адресою; - реєстраційним номером об'єкта нерухомості; - кадастровим номером земельної ділянки. Для одержання послуги потрібно бути зареєстрованим користувачем Кабінету електронних сервісів на сайті Министерства Юстиції";BankID,EDS;0
